SMILES,N#C/C(=C1\CCC[NH2+]1)c1ccc2ccccc2n1,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,O=[N+]([O-])c1ccccc1Nc1ccccc1,COCCN(CCOC)S(=O)(=O)c1ccc(C(=O)Nc2nc(-c3ccncc3)cs2)cc1,COc1cc([C@H]2CC(=O)c3c([nH]c(C(=O)OCCOC(C)C)c3C)C2)cc(OC)c1OC,COc1ccc(-c2nc(CSCC(=O)NCc3ccc4c(c3)OCO4)c(C)o2)cc1OC,COc1ccc(C(=O)Nc2ccc(-c3ccc(C)o3)cc2)cc1S(=O)(=O)N1CCOCC1,COc1ccc(N2CCN(c3nc(NCCc4ccc(OC)c(OC)c4)nc(OC)n3)CC2)cc1,COc1ccc(N2CCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)c(OC)c1,COc1ccc([C@@H]2CC(=O)c3cnc(NC(=O)c4ccccc4OC)nc3C2)c(OC)c1,Cn1c(C(=O)N2CCC[C@@H](C(=O)NCCCSC3CCCCC3)C2)cc2sccc21,O=C(C1CCN(S(=O)(=O)c2cccc3cccnc23)CC1)N1CC=C(c2ccccc2)CC1,CCCC(=O)Nc1nc2ccc(NC(=O)c3ccc(Br)o3)cc2s1,CCCC(=O)c1ccc(N2CCN(C(=O)c3ccccc3Br)CC2)c(F)c1,CN1CC[NH+](CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,COc1cc2c(cc1OC)-c1c/c(=N\c3c(C)cc(C)cc3C)n(C)c(=O)n1CC2,COc1ccc(-c2cnnn2-c2ccc(NC(=O)c3ccco3)cc2)cc1OC,COc1ccc(Cl)cc1NS(=O)(=O)c1ccc(S(=O)(=O)N2CCCC2)cc1,COc1ccc([C@H]2SCCN2S(=O)(=O)c2ccc(F)cc2)cc1OC,C[C@H](c1ccccc1)N1C[C@H](C(=O)N2CCN(c3ccccc3)CC2)CC1=O,Cc1cc(C)c2cc(CN(CCO)C(=O)Nc3ccc(Cl)cc3)c(=O)[nH]c2c1,N#CC1=C(SCC(=O)c2cc3ccccc3oc2=O)NC(=O)[C@@H](C#N)C12CCCC2,O=C(Nc1nc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1)c1cccs1,O=C1Nc2ccccc2C2(CC[NH+](CCc3ccc(C(F)(F)F)cc3)CC2)O1,O[C@H](COc1ccc2cc(Br)ccc2c1)C[NH+]1CCN(c2ccccn2)CC1,c1ccc(CC[NH+]2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,C=CCNc1nc(NCc2ccco2)nc(OCC)n1,C[C@@H]1CCCCN1c1nc(-c2ccncc2)nc2ccccc12,Cc1cccc(N2CCc3c2[nH+]c2ccccc2c3N)c1,Cn1c(-c2ccc(F)cc2)c[nH+]c1NCc1ccccc1,O=C1C[C@](O)(C(F)(F)F)Oc2c1ccc1ccccc21,O[C@H](CNc1nc2ccccc2s1)c1ccccc1,c1ccc(-c2nc3nonc3nc2-c2ccccc2)cc1,c1ccc(COc2nsnc2N2CCOCC2)cc1,C/C=C/c1ccc(OCCCCN2C(=O)NC(C)(C)C2=O)c(OC)c1,CCOc1cc(C(=O)Nc2ccc3c(c2)OCO3)ccc1OC(F)F,CCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,CCn1c(SCc2nc(=O)c3ccccc3[nH]2)nc2ccccc2c1=O,COC(=O)[C@@H](C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1CCC(C)C,COc1ccc(OC)c(Nc2cc(-c3ccccc3)nc(N)n2)c1,Cc1nnc(SCCC(=O)Nc2nc(-c3ccccc3)ns2)s1,Cc1noc(C)c1CSc1nc2[nH]ncc2c(=O)n1-c1ccccc1,FC(F)C(F)(F)C(F)(F)C(F)(F)c1cc(-c2ccccc2)n[nH]1,O=C(COc1ccc(Cl)cc1)Nc1nc(-c2cccs2)cs1,O=C1OCC2=C1[C@@H](c1ccc3c(c1)OCO3)Sc1ccccc1N2,O=C1c2ccccc2[C@H](Nc2ccc3c(c2)OCCO3)N1Cc1ccco1,O=S(=O)(Nc1cccc(-c2cn3ccsc3[nH+]2)c1)c1ccc(F)cc1,Oc1c(C[NH+]2CCN(c3ccccn3)CC2)cc(Cl)c2cccnc12,c1ccc(-c2csc(N3CCN(c4ccccn4)CC3)n2)cc1,c1ccc(C2=Nn3c(nnc3-c3cc(-c4ccccc4)n[nH]3)SC2)cc1
N#C/C(=C1\CCC[NH2+]1)c1ccc2ccccc2n1,1.0,0.1044776119402985,0.08771929824561403,0.08641975308641975,0.045454545454545456,0.07692307692307693,0.056818181818181816,0.08641975308641975,0.0898876404494382,0.10588235294117647,0.06593406593406594,0.1375,0.0875,0.1038961038961039,0.07692307692307693,0.05,0.07142857142857142,0.0821917808219178,0.06578947368421052,0.1111111111111111,0.05952380952380952,0.1728395061728395,0.13157894736842105,0.07692307692307693,0.12987012987012986,0.09210526315789473,0.09859154929577464,0.16176470588235295,0.1,0.07246376811594203,0.15625,0.16393442622950818,0.13725490196078433,0.10606060606060606,0.037037037037037035,0.06172839506172839,0.08,0.1232876712328767,0.05,0.09859154929577464,0.1038961038961039,0.08641975308641975,0.09230769230769231,0.09333333333333334,0.09333333333333334,0.07407407407407407,0.0625,0.10526315789473684,0.12307692307692308,0.1
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,0.1044776119402985,1.0,0.06896551724137931,0.1282051282051282,0.09523809523809523,0.11363636363636363,0.10714285714285714,0.1,0.12790697674418605,0.14634146341463414,0.12790697674418605,0.16666666666666666,0.11538461538461539,0.1038961038961039,0.12,0.09090909090909091,0.1111111111111111,0.09722222222222222,0.125,0.14285714285714285,0.1125,0.13095238095238096,0.13157894736842105,0.10526315789473684,0.11538461538461539,0.10666666666666667,0.09859154929577464,0.12857142857142856,0.1,0.07246376811594203,0.13846153846153847,0.12698412698412698,0.11538461538461539,0.140625,0.09090909090909091,0.10256410256410256,0.125,0.1232876712328767,0.12,0.09859154929577464,0.1038961038961039,0.14285714285714285,0.07575757575757576,0.15492957746478872,0.1232876712328767,0.12987012987012986,0.1038961038961039,0.10526315789473684,0.10606060606060606,0.08450704225352113
O=[N+]([O-])c1ccccc1Nc1ccccc1,0.08771929824561403,0.06896551724137931,1.0,0.08571428571428572,0.03896103896103896,0.06172839506172839,0.08,0.05555555555555555,0.1038961038961039,0.09333333333333334,0.0625,0.09722222222222222,0.10294117647058823,0.10606060606060606,0.09090909090909091,0.058823529411764705,0.09859154929577464,0.11666666666666667,0.09523809523809523,0.11475409836065574,0.08450704225352113,0.07792207792207792,0.1044776119402985,0.09090909090909091,0.08695652173913043,0.12698412698412698,0.08196721311475409,0.11666666666666667,0.1016949152542373,0.14814814814814814,0.10714285714285714,0.1568627450980392,0.15,0.10909090909090909,0.058823529411764705,0.08823529411764706,0.045454545454545456,0.12903225806451613,0.07462686567164178,0.15789473684210525,0.12307692307692308,0.11764705882352941,0.11320754716981132,0.09375,0.1111111111111111,0.11940298507462686,0.140625,0.09090909090909091,0.10909090909090909,0.1016949152542373
COCCN(CCOC)S(=O)(=O)c1ccc(C(=O)Nc2nc(-c3ccncc3)cs2)cc1,0.08641975308641975,0.1282051282051282,0.08571428571428572,1.0,0.11578947368421053,0.14285714285714285,0.20224719101123595,0.10869565217391304,0.11,0.14893617021276595,0.11,0.12903225806451613,0.1744186046511628,0.11235955056179775,0.07692307692307693,0.08888888888888889,0.15555555555555556,0.14814814814814814,0.15853658536585366,0.08045977011494253,0.14444444444444443,0.07920792079207921,0.4084507042253521,0.07692307692307693,0.09782608695652174,0.05434782608695652,0.12195121951219512,0.1625,0.05813953488372093,0.08641975308641975,0.07317073170731707,0.14864864864864866,0.09090909090909091,0.0875,0.10112359550561797,0.17647058823529413,0.09195402298850575,0.09090909090909091,0.13953488372093023,0.15,0.1927710843373494,0.0967741935483871,0.08974358974358974,0.2972972972972973,0.054945054945054944,0.06315789473684211,0.1511627906976744,0.07692307692307693,0.1917808219178082,0.0963855421686747
COc1cc([C@H]2CC(=O)c3c([nH]c(C(=O)OCCOC(C)C)c3C)C2)cc(OC)c1OC,0.045454545454545456,0.09523809523809523,0.03896103896103896,0.11578947368421053,1.0,0.16,0.16842105263157894,0.13978494623655913,0.13861386138613863,0.21739130434782608,0.10576923076923077,0.07920792079207921,0.09375,0.10752688172043011,0.0625,0.1590909090909091,0.1368421052631579,0.12790697674418605,0.16470588235294117,0.13953488372093023,0.12631578947368421,0.10784313725490197,0.061224489795918366,0.0967741935483871,0.10526315789473684,0.052083333333333336,0.06666666666666667,0.05434782608695652,0.06741573033707865,0.045454545454545456,0.09523809523809523,0.07228915662650602,0.02702702702702703,0.08333333333333333,0.1590909090909091,0.14285714285714285,0.08791208791208792,0.08695652173913043,0.1590909090909091,0.10344827586206896,0.08421052631578947,0.08163265306122448,0.08536585365853659,0.07526881720430108,0.1111111111111111,0.08247422680412371,0.04040404040404041,0.0625,0.03409090909090909,0.06741573033707865
COc1ccc(-c2nc(CSCC(=O)NCc3ccc4c(c3)OCO4)c(C)o2)cc1OC,0.07692307692307693,0.11363636363636363,0.06172839506172839,0.14285714285714285,0.16,1.0,0.21875,0.21739130434782608,0.16346153846153846,0.16831683168316833,0.12037037037037036,0.10576923076923077,0.18085106382978725,0.10101010101010101,0.08,0.14893617021276595,0.25274725274725274,0.15730337078651685,0.19318181818181818,0.08333333333333333,0.1188118811881188,0.13333333333333333,0.12244897959183673,0.09090909090909091,0.12121212121212122,0.07,0.12087912087912088,0.09574468085106383,0.09782608695652174,0.12643678160919541,0.11363636363636363,0.09195402298850575,0.09333333333333334,0.10227272727272728,0.17391304347826086,0.26436781609195403,0.11702127659574468,0.11578947368421053,0.125,0.18604651162790697,0.1595744680851064,0.14285714285714285,0.07954545454545454,0.1276595744680851,0.16483516483516483,0.15625,0.09,0.1134020618556701,0.0898876404494382,0.08602150537634409
COc1ccc(C(=O)Nc2ccc(-c3ccc(C)o3)cc2)cc1S(=O)(=O)N1CCOCC1,0.056818181818181816,0.10714285714285714,0.08,0.20224719101123595,0.16842105263157894,0.21875,1.0,0.17582417582417584,0.1485148514851485,0.18947368421052632,0.1485148514851485,0.1827956989247312,0.17777777777777778,0.14285714285714285,0.08421052631578947,0.1839080459770115,0.2976190476190476,0.2727272727272727,0.21951219512195122,0.13793103448275862,0.16129032258064516,0.10679611650485436,0.22093023255813954,0.07291666666666667,0.11578947368421053,0.0625,0.0898876404494382,0.10112359550561797,0.11627906976744186,0.09411764705882353,0.09411764705882353,0.058823529411764705,0.06944444444444445,0.15,0.15730337078651685,0.2804878048780488,0.0989010989010989,0.07446808510638298,0.10752688172043011,0.15476190476190477,0.13043478260869565,0.10309278350515463,0.058823529411764705,0.09782608695652174,0.09782608695652174,0.13978494623655913,0.13043478260869565,0.11956521739130435,0.08235294117647059,0.09090909090909091
COc1ccc(N2CCN(c3nc(NCCc4ccc(OC)c(OC)c4)nc(OC)n3)CC2)cc1,0.08641975308641975,0.1,0.05555555555555555,0.10869565217391304,0.13978494623655913,0.21739130434782608,0.17582417582417584,1.0,0.24719101123595505,0.21348314606741572,0.11,0.08247422680412371,0.12222222222222222,0.13793103448275862,0.10112359550561797,0.16666666666666666,0.2235294117647059,0.19230769230769232,0.21794871794871795,0.14634146341463414,0.07291666666666667,0.06862745098039216,0.0989010989010989,0.08888888888888889,0.16091954022988506,0.1411764705882353,0.1794871794871795,0.10714285714285714,0.10975609756097561,0.11392405063291139,0.060240963855421686,0.1038961038961039,0.07462686567164178,0.16,0.16666666666666666,0.12359550561797752,0.09195402298850575,0.09090909090909091,0.11363636363636363,0.22666666666666666,0.08791208791208792,0.10869565217391304,0.0625,0.11627906976744186,0.06666666666666667,0.10989010989010989,0.07608695652173914,0.11363636363636363,0.12987012987012986,0.0963855421686747
COc1ccc(N2CCn3c2nc2c3c(=O)n(CCCc3ccccc3)c(=O)n2C)c(OC)c1,0.0898876404494382,0.12790697674418605,0.1038961038961039,0.11,0.13861386138613863,0.16346153846153846,0.1485148514851485,0.24719101123595505,1.0,0.23157894736842105,0.1320754716981132,0.12871287128712872,0.1,0.14893617021276595,0.15053763440860216,0.20224719101123595,0.17708333333333334,0.1590909090909091,0.16853932584269662,0.14444444444444443,0.09803921568627451,0.11320754716981132,0.11224489795918367,0.12631578947368421,0.15789473684210525,0.19101123595505617,0.09782608695652174,0.13333333333333333,0.12359550561797752,0.15476190476190477,0.10227272727272728,0.11904761904761904,0.125,0.17073170731707318,0.18888888888888888,0.10101010101010101,0.23809523809523808,0.19318181818181818,0.18888888888888888,0.24691358024691357,0.125,0.15625,0.09302325581395349,0.12903225806451613,0.09375,0.1111111111111111,0.08,0.11458333333333333,0.12941176470588237,0.1111111111111111
COc1ccc([C@@H]2CC(=O)c3cnc(NC(=O)c4ccccc4OC)nc3C2)c(OC)c1,0.10588235294117647,0.14634146341463414,0.09333333333333334,0.14893617021276595,0.21739130434782608,0.16831683168316833,0.18947368421052632,0.21348314606741572,0.23157894736842105,1.0,0.10377358490566038,0.16842105263157894,0.15053763440860216,0.15384615384615385,0.08333333333333333,0.15555555555555556,0.2087912087912088,0.1511627906976744,0.1744186046511628,0.16279069767441862,0.12371134020618557,0.15,0.13978494623655913,0.08333333333333333,0.15053763440860216,0.09574468085106383,0.12643678160919541,0.11235955056179775,0.11494252873563218,0.10588235294117647,0.16049382716049382,0.10975609756097561,0.09859154929577464,0.10714285714285714,0.14285714285714285,0.16483516483516483,0.09782608695652174,0.10869565217391304,0.13043478260869565,0.2564102564102564,0.14130434782608695,0.125,0.08333333333333333,0.1724137931034483,0.13333333333333333,0.13829787234042554,0.11702127659574468,0.10638297872340426,0.10714285714285714,0.0898876404494382
