SMILES,Cc1ccc(CCC(=O)Nc2nccs2)o1,COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)N4CC[NH+](Cc5ccccc5)CC4)ccc3c2=O)cc1,COc1ccc(S(=O)(=O)N2CCC[N@H+](CC(=O)Nc3ccc(OC)c(Cl)c3)CC2)cc1,COc1ccccc1-n1cnnc1SCC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,Cc1noc(/C=C/c2ccco2)c1S(=O)(=O)N1CCC(C(=O)N2CCc3ccccc3C2)CC1,O=C(CSc1n[nH]c(-c2cccs2)n1)N1CCN(S(=O)(=O)c2ccccc2)CC1,C=CCn1c(SCc2csc(C)n2)nc2scc(-c3ccc(C)o3)c2c1=O,COc1cc2c(cc1OC)CN(S(=O)(=O)c1ccc3c(c1)OCCO3)CC2,COc1cccc(-c2nn(C)c3sc(C(=O)NCc4ccc(C)o4)cc23)c1,Cc1ccccc1-c1nnn(CC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)n1,Cn1c(CCNC(=O)c2ccco2)nc2cc(NS(=O)(=O)c3ccccc3)ccc21,N#Cc1ccc(OCC(=O)N2CCN(S(=O)(=O)c3cccs3)CC2)cc1,O=C(C1CCC1)N1CCc2cc(S(=O)(=O)Nc3ccc4c(c3)OCO4)ccc21,O=C(Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1)[C@H]1[C@H](C(=O)[O-])[C@H]2C=C[C@@H]1O2,O=C(OCc1ccc2c(c1)OCO2)c1ccc(S(=O)(=O)N2CCCC2)cc1,O=S(=O)(c1ccc2c(c1)OCCO2)N1CCN(c2nc3ccccc3s2)CC1,COCCSc1ccccc1C(=O)Nc1cc(C)on1,Cc1nc2ccc(S(=O)(=O)Nc3ccccc3C)cc2s1,N#CCc1ccc(NS(=O)(=O)c2cccs2)cc1,CCCc1nc2sc3ccccc3c(=O)c2c(=O)n1Cc1ccco1,CN(C)S(=O)(=O)c1ccc(C(=O)NCc2cccs2)cc1,Cc1cc(C)n2cc(CSc3nnnn3-c3ccc(Cl)cc3)[nH+]c2n1,Cc1cc(NC(=O)CSc2nnc(-c3ccoc3C)o2)no1,Cc1cc2c(s1)c1cnn(Cc3ccccc3F)c(=O)c1n2C,Cc1nc(COC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)cs1,Fc1ccccc1Cn1nnc2c(NCCc3ccccn3)ncnc21,c1ccc2c(c1)ncn2Cc1nnc2sc(-c3ccncc3)nn12
Cc1ccc(CCC(=O)Nc2nccs2)o1,1.0,0.08888888888888889,0.13253012048192772,0.10588235294117647,0.12222222222222222,0.13414634146341464,0.1875,0.07894736842105263,0.2597402597402597,0.14285714285714285,0.14285714285714285,0.14666666666666667,0.10843373493975904,0.125,0.1038961038961039,0.08860759493670886,0.22388059701492538,0.13043478260869565,0.13846153846153847,0.14102564102564102,0.2,0.09876543209876543,0.22535211267605634,0.11538461538461539,0.1643835616438356,0.11392405063291139,0.13513513513513514
COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)N4CC[NH+](Cc5ccccc5)CC4)ccc3c2=O)cc1,0.08888888888888889,1.0,0.26666666666666666,0.1875,0.14150943396226415,0.15306122448979592,0.09523809523809523,0.14606741573033707,0.18181818181818182,0.16129032258064516,0.1717171717171717,0.16483516483516483,0.09803921568627451,0.10989010989010989,0.1797752808988764,0.11578947368421053,0.14606741573033707,0.10112359550561797,0.09302325581395349,0.1595744680851064,0.12643678160919541,0.09,0.09183673469387756,0.16304347826086957,0.15384615384615385,0.10204081632653061,0.10638297872340426
COc1ccc(S(=O)(=O)N2CCC[N@H+](CC(=O)Nc3ccc(OC)c(Cl)c3)CC2)cc1,0.13253012048192772,0.26666666666666666,1.0,0.27906976744186046,0.14705882352941177,0.1978021978021978,0.0673076923076923,0.2894736842105263,0.16494845360824742,0.2682926829268293,0.19148936170212766,0.21428571428571427,0.2,0.1686746987951807,0.2948717948717949,0.2,0.15294117647058825,0.13253012048192772,0.125,0.07142857142857142,0.16049382716049382,0.10526315789473684,0.13186813186813187,0.08421052631578947,0.2948717948717949,0.061224489795918366,0.07526881720430108
COc1ccccc1-n1cnnc1SCC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.10588235294117647,0.1875,0.27906976744186046,1.0,0.19387755102040816,0.4342105263157895,0.11,0.2564102564102564,0.1414141414141414,0.2839506172839506,0.19148936170212766,0.275,0.14893617021276595,0.1411764705882353,0.24691358024691357,0.2289156626506024,0.18072289156626506,0.13253012048192772,0.0975609756097561,0.10526315789473684,0.14634146341463414,0.12903225806451613,0.14444444444444443,0.11956521739130435,0.2625,0.09473684210526316,0.13636363636363635
Cc1noc(/C=C/c2ccco2)c1S(=O)(=O)N1CCC(C(=O)N2CCc3ccccc3C2)CC1,0.12222222222222222,0.14150943396226415,0.14705882352941177,0.19387755102040816,1.0,0.1836734693877551,0.102803738317757,0.19318181818181818,0.1111111111111111,0.21978021978021978,0.1782178217821782,0.17204301075268819,0.21052631578947367,0.14285714285714285,0.16129032258064516,0.17204301075268819,0.15384615384615385,0.12222222222222222,0.07777777777777778,0.14285714285714285,0.1348314606741573,0.08737864077669903,0.15789473684210525,0.1111111111111111,0.2,0.0673076923076923,0.08080808080808081
O=C(CSc1n[nH]c(-c2cccs2)n1)N1CCN(S(=O)(=O)c2ccccc2)CC1,0.13414634146341464,0.15306122448979592,0.1978021978021978,0.4342105263157895,0.1836734693877551,1.0,0.12244897959183673,0.15476190476190477,0.10891089108910891,0.25609756097560976,0.18085106382978725,0.36486486486486486,0.12631578947368421,0.14285714285714285,0.21951219512195122,0.24691358024691357,0.1411764705882353,0.14814814814814814,0.17105263157894737,0.11827956989247312,0.2077922077922078,0.10638297872340426,0.12087912087912088,0.10869565217391304,0.28205128205128205,0.08421052631578947,0.125
C=CCn1c(SCc2csc(C)n2)nc2scc(-c3ccc(C)o3)c2c1=O,0.1875,0.09523809523809523,0.0673076923076923,0.11,0.102803738317757,0.12244897959183673,1.0,0.07608695652173914,0.15151515151515152,0.11702127659574468,0.0970873786407767,0.08421052631578947,0.06862745098039216,0.053763440860215055,0.07368421052631578,0.09574468085106383,0.1511627906976744,0.11764705882352941,0.08333333333333333,0.19101123595505617,0.10465116279069768,0.16483516483516483,0.15555555555555556,0.14285714285714285,0.2289156626506024,0.08247422680412371,0.08602150537634409
COc1cc2c(cc1OC)CN(S(=O)(=O)c1ccc3c(c1)OCCO3)CC2,0.07894736842105263,0.14606741573033707,0.2894736842105263,0.2564102564102564,0.19318181818181818,0.15476190476190477,0.07608695652173914,1.0,0.12222222222222222,0.19480519480519481,0.12359550561797752,0.15384615384615385,0.28,0.11842105263157894,0.3283582089552239,0.40625,0.11688311688311688,0.1388888888888889,0.08333333333333333,0.08139534883720931,0.17142857142857143,0.08139534883720931,0.08333333333333333,0.08333333333333333,0.2191780821917808,0.045454545454545456,0.047619047619047616
COc1cccc(-c2nn(C)c3sc(C(=O)NCc4ccc(C)o4)cc23)c1,0.2597402597402597,0.18181818181818182,0.16494845360824742,0.1414141414141414,0.1111111111111111,0.10891089108910891,0.15151515151515152,0.12222222222222222,1.0,0.15053763440860216,0.17346938775510204,0.12903225806451613,0.11,0.0989010989010989,0.11827956989247312,0.11702127659574468,0.21686746987951808,0.1411764705882353,0.09411764705882353,0.14893617021276595,0.19753086419753085,0.10204081632653061,0.16483516483516483,0.17777777777777778,0.14285714285714285,0.08080808080808081,0.14444444444444443
Cc1ccccc1-c1nnn(CC(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)n1,0.14285714285714285,0.16129032258064516,0.2682926829268293,0.2839506172839506,0.21978021978021978,0.25609756097560976,0.11702127659574468,0.19480519480519481,0.15053763440860216,1.0,0.16483516483516483,0.2,0.1590909090909091,0.1518987341772152,0.3380281690140845,0.23076923076923078,0.15,0.2054794520547945,0.12,0.11235955056179775,0.2054794520547945,0.125,0.1411764705882353,0.12790697674418605,0.4393939393939394,0.11363636363636363,0.16049382716049382
