,mqn_1,mqn_2,mqn_3,mqn_4,mqn_6,mqn_8,mqn_9,mqn_10,mqn_11,mqn_13,mqn_14,mqn_15,mqn_16,mqn_17,mqn_20,mqn_22,mqn_24,mqn_25,mqn_26,mqn_28,mqn_29,mqn_30,mqn_31,mqn_32,mqn_34,mqn_35,mqn_36,mqn_37,mqn_41
0,13,0,0,0,1,2,2,2,0,7,2,0,9,3,8,4,0,0,4,2,0,8,4,0,0,0,2,0,0
1,16,0,0,0,1,1,1,2,1,6,2,0,11,5,8,1,0,0,2,1,0,10,5,0,0,1,2,0,2
2,15,0,0,0,1,0,6,1,0,7,1,0,12,5,8,1,0,1,2,1,0,12,5,0,0,1,2,0,0
3,13,0,0,0,0,0,0,6,0,12,2,0,3,3,13,1,1,0,6,2,1,4,2,0,0,0,1,0,0
4,13,0,0,0,0,1,1,2,1,6,2,0,6,5,8,2,0,0,3,1,0,7,4,0,0,1,1,0,0
5,15,0,0,0,0,0,1,3,2,6,1,0,10,6,11,0,0,0,2,1,0,10,5,0,0,1,2,0,2
6,15,0,0,0,1,1,1,1,0,6,2,0,6,6,4,0,0,0,4,0,0,6,6,0,0,0,2,0,0
7,18,0,0,0,0,0,4,0,0,3,0,0,14,8,4,0,0,0,1,0,0,14,7,0,0,1,3,0,2
8,16,0,0,0,0,2,1,3,0,9,2,0,6,6,9,2,0,0,3,2,0,9,3,0,0,0,2,0,0
9,14,0,0,0,0,0,2,0,0,5,0,0,9,3,2,1,0,1,2,0,0,8,4,0,0,0,2,0,0
10,16,0,0,0,0,0,1,4,0,6,2,0,8,7,11,1,2,0,4,2,0,7,6,0,0,1,2,0,4
11,21,0,1,0,1,1,3,2,1,8,2,0,15,8,10,0,0,0,5,1,1,15,8,0,0,1,3,0,0
12,8,0,0,0,1,0,4,1,0,4,0,0,6,5,6,1,0,0,2,0,0,7,4,0,0,1,1,0,0
13,34,0,0,0,0,0,3,7,0,16,3,0,22,8,17,2,0,0,7,4,0,16,11,1,0,4,2,0,4
14,22,0,0,0,0,0,2,2,0,3,2,0,17,8,6,0,0,0,2,1,0,13,9,0,0,1,4,0,6
15,15,0,0,0,1,0,1,1,1,4,2,0,10,5,5,0,0,0,2,1,0,9,5,0,0,2,1,0,2
16,14,0,0,0,0,0,5,2,0,3,2,0,19,0,9,1,0,1,4,0,0,7,10,0,0,2,2,0,4
17,13,0,0,0,1,0,0,1,2,2,2,0,11,4,6,0,0,0,2,0,0,8,6,0,0,2,1,0,2
18,23,0,0,0,0,1,6,2,0,7,1,0,17,11,11,1,0,0,2,1,0,18,9,0,0,1,4,0,2
19,25,0,0,0,0,3,1,3,1,15,3,0,9,8,12,2,0,0,4,4,0,13,4,0,0,1,2,0,0
20,19,0,0,0,0,2,1,2,2,5,2,1,14,7,11,3,0,1,6,0,0,7,10,1,0,1,3,0,5
21,18,0,0,0,0,0,4,4,0,9,2,0,11,6,12,2,0,1,6,0,0,6,10,0,0,0,3,0,2
22,19,0,0,0,0,0,0,3,0,6,2,0,9,9,7,0,1,0,3,0,2,15,3,0,0,0,3,0,0
23,12,0,0,0,0,0,0,2,1,5,1,0,5,5,7,0,1,0,4,1,0,4,5,0,0,1,1,0,2
24,16,0,0,1,0,0,2,1,0,6,0,0,8,8,4,0,0,0,2,0,0,9,6,0,0,1,2,0,2
25,13,0,1,0,0,0,4,1,0,5,0,0,8,8,6,1,0,1,3,0,0,8,7,0,0,1,2,0,2
26,17,0,0,0,0,0,0,3,0,5,2,0,10,6,7,0,1,0,3,1,1,13,2,1,1,0,2,0,0
27,14,0,0,0,1,1,1,2,0,1,3,0,14,3,6,1,0,0,2,0,0,11,4,1,0,1,1,1,2
28,17,0,0,0,1,0,4,1,0,2,1,0,17,7,6,0,0,0,2,0,0,11,10,0,0,3,2,0,6
29,13,0,0,0,1,0,3,1,0,3,2,0,10,5,5,0,0,0,3,0,0,6,7,0,0,1,2,0,4
30,16,0,0,1,1,1,1,3,0,9,3,0,9,3,8,1,0,0,7,1,2,8,4,0,0,0,2,0,0
