,SMILES,PKM2_inhibition,ERK2_inhibition
0,C[C@@H](Sc1nc(=O)cc(N)[nH]1)C(=O)NC1CCCCC1,1,0
1,O=C(CCN1C(=O)COc2ccccc21)NCc1cccs1,0,0
2,Cn1nnnc1SCC(=O)N1CC[NH+](Cc2ccccc2)CC1,0,1
3,CCOC(=O)CCP(=O)([O-])[C@@H](O)c1ccc(OC)cc1,0,0
4,C=CCNC(=O)c1cc(-c2ccccc2O)on1,0,0
5,CCOc1ncccc1C(=O)Oc1ccc2c(c1)OCO2,0,0
6,CSc1ccc(/C=N/n2c(C)cc(C)cc2=O)cc1,0,0
7,Cc1cc(N2CCCCC2)n2ncc(-c3ccccc3)c2n1,0,0
8,CCOC(=O)c1ccc(NC(=O)NCc2ccncc2)cc1,0,0
9,CC[NH+]1CCN(Cc2ccc(C)cc2)CC1,0,0
10,O=C([O-])Cc1ccc2[nH]c3ccc(CC(=O)[O-])cc3c2c1,0,1
11,CN(C)c1ccc(-c2noc(C3CCN(S(=O)(=O)c4cccc(Cl)c4)CC3)n2)cc1,0,0
12,CSc1nnnn1-c1cccc(O)c1,0,0
13,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(C[C@H](O)CO)c3C[C@H]2CN1C(=O)c1ccccc1,0,1
14,O=C(CN1C(=O)c2cccc3cccc1c23)N1CCc2ccccc2C1,0,1
15,CCN1/C(=C/C(=O)c2ccco2)Sc2ccccc21,0,0
16,CN1C(=O)N2C[NH+](C3CCCCC3)CN3C(=O)N(C)C1C23,0,1
17,CC1=C/C(=C\c2ccc3c(c2)OCO3)C(=O)S1,0,0
18,COc1ccccc1NC(=O)N1CCN(c2cc(-c3ccccc3)nc3ncnn23)CC1,0,0
19,Cc1ccnc(NC(=O)CCC(=O)N(CC(=O)NCCc2ccccc2)Cc2ccco2)c1,0,0
20,CCN1C(=O)[C@]2(C(C#N)=C([NH3+])Oc3cc(C)oc(=O)c32)c2ccccc21,0,1
21,COc1ccc(CC[N@@H+]2CNc3c(c(=O)n(C)c(=O)n3C)C2)cc1OC,0,1
22,O=P([O-])(CP(=O)(c1ccccc1)c1ccccc1)c1ccccc1,0,0
23,Cc1cc(C)c2c(CC(=O)[O-])coc2c1,0,1
24,COCc1nc2ccccc2n1Cc1ccc(Br)cc1,0,1
25,Cc1cc(O)c2n(Cc3ccc(Cl)cc3)nc[n+]2n1,0,1
26,O=C([O-])C1(P(=O)(c2ccccc2)c2ccccc2)CCC1,0,0
27,O=S1(=O)N/C(=N\C2CCCCCC2)c2ccccc21,0,0
28,Cc1nnc2n(C3CCCCC3)c(=O)c3c4c(sc3n12)CCC4,0,1
29,C=CCn1nnc2sc3c(c2c1=O)CC[C@@H](C)C3,0,1
30,CC(C)(C)NC(=O)C1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1,1,0
31,COc1ccc(OC)c(NC(=O)CC[NH+]2CCN(c3ccccc3F)CC2)c1,0,1
32,O=c1nc[nH]c2c1ncn2[C@H]1CC[C@@H](CO)O1,0,1
33,COc1cc2[nH]c(=O)n(CCCCCC(=O)NCCC[NH+]3CCOCC3)c(=O)c2cc1OC,0,1
34,CCOC(=O)c1oc2cccc(OC(C)=O)c2c1C,0,1
35,CC[C@@H](Oc1ccccc1)C(=O)Nc1ccc(-c2nnc(-c3ccco3)o2)cc1,0,0
36,O=C([O-])c1ccc(CN(c2ccccn2)S(=O)(=O)c2ccccc2)cc1,0,0
37,CCn1c(=O)c(-c2ccccc2)c([O-])c2ccccc21,0,0
38,Cc1nn(-c2ccccc2)c2nc(O)c(C[NH2+]CCN3CCOCC3)cc12,0,0
39,COc1cc2c(cc1OC)CN(C(=O)CSc1nnc(C)s1)CC2,0,1
40,COc1ccc(N2C(=O)c3cccc4cccc(c34)C2=O)nn1,0,1
41,O=C(Cn1c(=O)oc2cc(S(=O)(=O)N3CCCC3)ccc21)N[C@@H]1CCCc2ccccc21,0,1
42,COC(=O)c1c(NC(=O)c2ccc(Br)s2)sc2c1CCC2,0,1
43,COCC(=O)Nc1nc2ccc(S(C)(=O)=O)cc2s1,0,1
44,COC(=O)C1(C(=O)OC)[C@H](c2ccccc2)[C@@]1(C#N)C(=O)OC,0,0
45,Cc1nn(-c2nc3ccccc3s2)c(N)c1-c1ccccc1,0,1
46,COc1ccc(OC)c(N(CC(=O)Nc2ccc3c(c2)OCO3)S(=O)(=O)c2ccccc2)c1,0,0
47,O=C(NCCC[NH+]1CCC(Cc2ccccc2)CC1)[C@@H]1CC(=O)N(C2CCCC2)C1,0,0
48,Cn1c(=O)c2c(nc(NCc3cccnc3)n2Cc2cccc(C(F)(F)F)c2)n(C)c1=O,0,1
49,OCCOCCOCCn1c2ccccc2c2ccccc21,0,1
50,Cc1cc(C)cc(NC(=O)c2nnn(Cc3cc(C)ccc3C)c2N)c1,0,0
51,CCn1c(C)cc2c(c1=O)[C@H](c1ccccc1Br)C(C#N)=C([NH3+])O2,0,1
52,O=C(NCc1cccnc1)[C@H]1CCCCN1S(=O)(=O)c1ccc(F)cc1,0,0
53,O=C(c1cc(Br)ccc1Cl)N1CCC2(CC1)OCCO2,0,0
54,COc1ccc(C(F)(F)F)cc1NC(=O)c1nc2nc(C)cc(C(F)F)n2n1,1,1
55,O=C(Cn1ncc2c(=O)oc3ccccc3c21)Nc1nc2ccccc2s1,0,1
56,C[NH+](C)CCC=C1c2ccccc2CCc2ccccc21,0,0
57,CCCCNC(=O)C[C@@H]1C(=O)N(Cc2ccccc2)[C@H](C)c2nc3ccccc3n21,0,0
58,CC1(C)CC(=O)C(/C=N/Cc2cccnc2)=C([O-])C1,0,0
59,Cc1cc(NC(=O)c2cc(CC(C)C)on2)n(-c2ccccc2)n1,0,0
60,COC(=O)c1ccc(OCc2nc(N)nc(N3CCOCC3)n2)cc1,0,1
61,Cc1onc(-c2ccccc2)c1C(=O)NC[C@H]1CCCO1,0,0
62,CC[NH+](CC)CCn1c(OC)cc(=O)[nH]c1=O,0,0
63,Cc1nc([O-])nc([O-])c1S(=O)(=O)N1CCOCC1,0,0
64,O=C(CCCn1c(=S)[nH]c2ccc(Br)cc2c1=O)N1CCN(c2ccccn2)CC1,0,0
65,C=CCNC(=O)NC(=S)c1ccccc1,1,0
66,COc1ccc([C@@H]2C3=C(CCCC3=O)Nc3nc(C(F)(F)F)nn32)c(OC)c1OC,0,1
67,CN1C(=O)c2oc3ccccc3c(=O)c2[C@H]1c1ccccn1,0,1
68,CCn1c(SCC(=O)NCCOc2ccccc2)nc2ccccc2c1=O,0,0
69,COc1ccc(C(=O)N2CCCc3ccccc32)cc1,0,1
70,CCN(CC)S(=O)(=O)c1ccc2c(c1)c(=O)c(C(=O)NCCCN(C)c1ccccc1)cn2C,1,0
71,COc1cc([C@H]2C(C#N)=C([NH3+])Oc3cc(C)n(C[C@H]4CCCO4)c(=O)c32)cc2c1OCO2,0,1
72,O=C(CCCCCn1c(=O)[nH]c2ccsc2c1=O)NCc1cccs1,0,0
73,Cc1cccc(N2CCN(C(=O)c3ccc(Cl)c(S(=O)(=O)NCc4ccco4)c3)CC2)c1C,0,0
74,COc1cccc(CNC(=O)[C@H]2CCCN(S(=O)(=O)c3c(C)n[nH]c3C)C2)c1,1,1
75,CC(C)c1nnc(NC(=O)CCCC(=O)[O-])s1,0,0
76,CCc1cc2c(NCC(=O)[O-])ncnc2s1,0,1
77,O=C(OCC(=O)N1CCCCCC1)c1n[nH]c(=O)c2ccccc12,0,1
78,CCCc1cc(=O)n2[nH]c(C)nc2n1,0,1
79,O=C([O-])CCCCCNc1nc([S-])nc2ccccc12,0,1
80,Cc1cccc(NC(=O)Nc2cccc(C#N)c2)n1,0,0
81,CCOC(=O)c1sc(NC(=O)CCSC)nc1C,0,0
82,Cc1cnc(NC(=O)CSc2nnc(-c3cccs3)n2C)s1,0,0
83,O=C(COc1cccc(NC(=O)c2ccco2)c1)c1ccccc1,0,0
84,COc1ccc(-c2n[nH]c(C)c2-c2ccc(Cl)cc2)c(O)c1OC,0,1
85,COc1cc(NC(=O)[C@@H]2CC(c3cccc(OC)c3OC)=NO2)cc(OC)c1OC,0,1
86,C=CC[C@@](O)(CC[NH+]1CCCCC1)c1ccccc1,0,1
87,Cc1cc(C)n(-c2cccc3cccnc23)n1,0,1
88,CCOc1ccccc1NC(=O)Cc1ccccc1OC,0,0
89,COC(=O)c1ccccc1NC(=O)NCc1ccc2c(c1)OCO2,0,0
90,CCN(CC)c1cc(Oc2ccccc2)ncn1,0,0
91,CC(C)CC(=O)Nc1ccc(F)c(Cl)c1,0,0
92,COc1ccc([C@H]2C=C(c3ccccc3)Nc3nc(CCCO)nn32)cc1,0,0
93,CC[C@]1(C)Cc2nc3sc(C(=O)[O-])c(N)c3cc2CO1,0,1
94,O=C1NC[C@H](CN(c2ccccc2)c2ccccc2)O1,0,0
95,CCOc1cc(C2C3=C(CCCC3=O)N(C)C3=C2C(=O)CCC3)cc(Cl)c1O,0,1
96,CO/C(O)=C1\C(C)=NC2=C(C(=O)c3ccccc32)[C@@H]1c1ccc(-c2ccc(C(=O)[O-])cc2)o1,0,1
97,O=C(NCc1ccco1)C1CCN(S(=O)(=O)N2CCOCC2)CC1,0,1
98,O=C(Nc1ccccc1)N(Cc1cccs1)C1CCCC1,0,0
99,O=C([O-])Cn1c(CC(=O)N2CCCC2)nc2ccccc21,0,1
100,Cc1ccc(SCC(=O)NCCC[NH+]2CCOCC2)cc1,0,0
101,CCOC(=O)CSc1nnc(Cn2nnc(-c3ccccc3)n2)n1CC,1,1
102,CCCCc1nc2ccccc2c(NC(=O)C[NH+]2CCN(C)CC2)c1CCC,0,0
103,O=C(CSc1nnc(Cn2nnc3ccccc32)o1)N(Cc1ccc(F)cc1)c1ccccc1,0,0
104,CC1(C)CCCN(C(=O)c2coc(=O)c(Br)c2)C1,0,0
105,COc1ccc(CCn2nnnc2[C@@H](CC(C)C)[NH+]2CCC(C(N)=O)CC2)cc1OC,1,1
106,CCOc1ncccc1C(=O)OCC(=O)N1CC(=O)Nc2ccccc21,0,1
107,COc1ccc(OC)c(-n2cnc3cc(C(=O)[O-])ccc32)c1,0,1
108,CCC(=O)Nc1ccc(Cl)c(NC(=O)c2ccc(Br)o2)c1,0,0
109,CCCCc1ccc(CC(=O)[O-])cc1,0,0
110,CCOC(=O)CSC1=[NH+]c2ccccc2C2=[NH+][C@H](CC(=O)NCc3ccc(OC)cc3)C(=O)N12,0,1
111,CCCc1ccc(S(=O)(=O)NCCc2ccncc2)cc1,1,0
112,Cc1ccccc1-c1nc(C[NH+]2CCC(C(=O)NCCC[NH+]3C[C@H](C)C[C@@H](C)C3)CC2)c(C)o1,0,0
113,CCOC(=O)c1cc(C)n(-c2c(C)n(C)n(-c3ccccc3)c2=O)c1C,0,1
114,CSc1nc2ccc(S(=O)(=O)N3CCc4ccccc43)cc2s1,0,1
115,CCN(CC(=O)N[C@@H]1CCS(=O)(=O)C1)c1nc(-c2ccccc2)nc2ccccc12,0,0
116,Cc1ccc(NC(=O)CN(C)S(=O)(=O)c2cccs2)cc1F,1,0
117,c1ccc2c(c1)nc1sccn12,0,1
118,O=C(NCc1ccc2c(c1)OCO2)c1cccc2c1C(=O)N(C1CCCCC1)C2,0,0
119,CC(=O)c1coc2ccc(OCC[NH+]3CCCCC3)cc12,0,0
120,Cc1cccc(C)c1OCc1nnc(SCC(=O)NCCc2ccccc2)o1,0,0
121,CC1(C)NC(=O)N(C[C@H](O)C[NH+](Cc2ccccc2)Cc2ccccc2)C1=O,0,0
122,Cn1c(/C(C#N)=C(\O)c2ccc(S(=O)(=O)N3CCCCC3)cc2)nc2ccccc21,0,0
123,Cc1nc2ccc(S(=O)(=O)N[C@@H](C(=O)Nc3nccs3)C(C)C)cc2s1,1,0
124,Cn1c(SCC(=O)NCc2ccc(F)cc2)nc2ccccc21,0,0
125,Cc1c(N(C)C(=O)C23CC4CC(CC(C4)C2)C3)c(=O)n(-c2ccccc2)n1C,0,1
126,CS(=O)(=O)c1ccc2nc(NC(=O)CC3CCCC3)sc2c1,0,1
127,Cc1ccc(N2C[C@@H](C(=O)Nc3ccc4c(c3)OCCO4)CC2=O)cc1,0,0
128,CCOC(=O)c1c(N)sc2c1C1CCN2CC1,0,1
129,Cc1c(C[NH2+]Cc2cccs2)c(C(=O)[O-])c(C)n1Cc1ccccc1,0,0
130,Cn1c(CCCNC(=O)c2ccccc2)nc2ccccc21,0,0
131,Cc1cc(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)c(C)n1C[C@H]1CCCO1,0,0
132,CC[C@H](c1nnnn1Cc1ccco1)[N@@H+](Cc1cc2cc(C)cc(C)c2nc1O)C[C@H]1CCCO1,0,0
133,CC(=O)N1SC(N)=[NH+][C@H]1c1ccccc1,0,0
134,CCOC(=O)c1sc2nc(N3CCOCC3)c3c(c2c1N)CC(C)(C)[N@@H+](C)C3,0,1
135,O=C(c1cccc(Cl)c1)N(Cc1cccs1)[C@@H]1CCS(=O)(=O)C1,0,0
136,CCOC(=O)c1ccc(NC(=O)c2nn(CC)cc2Br)cc1,0,0
137,O=C(Nc1cccc2c1CCCC2)C1CCN(c2nnnn2-c2ccccc2)CC1,0,0
138,COc1ccc(C(=O)Nc2cc(Cl)cc(Cl)c2)c(OC)n1,0,1
139,CCOC(=O)c1c(C)c(C(=O)NC2CCCCCC2)c(C)n1C,0,0
140,C[NH2+][C@H](C(=O)c1ccccc1)[C@H](OC)c1ccccc1,0,0
141,CCN(CC)S(=O)(=O)c1ccc(NC(=O)Cn2c(=O)sc3ccccc32)cc1,0,1
142,COc1ccccc1C(=O)N1CCN(c2cccc(Cl)c2)CC1,0,0
143,CC(=O)C1=C(C)NC(SCSc2ccccc2)=C(C#N)[C@H]1c1cccnc1,0,0
144,CCOC(=O)Nc1oc2ccccc2c(=O)c1C[NH+]1CCOCC1,0,1
145,CCCC(=O)Nc1nnc(-c2ccco2)s1,0,0
146,CCOC(=O)CSc1cn2c([nH+]1)CCC2,0,1
147,O=C(N1CCOCC1)N1CCN(c2ccccn2)CC1,0,0
148,C=C(C)CSC1=C(C#N)[C@@H](c2ccccc2Cl)CC(=O)N1,0,0
149,N#Cc1ccccc1NC(=O)CSc1nccn1CCc1ccccc1,0,0
150,COc1cccc(NC(=O)N2CCC(C(=O)Nc3ccc(C)cc3C)CC2)c1,0,0
151,COC(=O)c1[nH]c2ccc(C)cc2c1NC(=O)CC[NH+]1CCN(Cc2ccc3c(c2)OCO3)CC1,0,0
152,Cc1ccc(NC(=O)CSc2nnc([C@@H]3CCCN3C(=O)OC(C)(C)C)o2)c(C)c1,0,1
153,COCCOC(=O)C1=C([NH3+])OC(C)=C(C(=O)OC)[C@]12C(=O)Nc1ccccc12,0,1
154,Cc1c(C#N)c2ncnc(-c3ccccc3)c2n1-c1ccccc1,0,1
155,CN1CC(=O)[NH+]=C1NC(=O)Nc1cccc(Cl)c1,0,0
156,CCCCN1CCc2c([nH]c3c(C)cccc23)C1=O,0,1
157,O=C(CSc1nc2ccccc2[nH]1)NCC[NH+]1CCCCC1,0,0
158,CCCCOC(=O)[C@@H](C)Nc1n[nH]c(=O)[nH]c1=O,0,0
159,COc1ccc(Cn2c(=O)[nH]c3cc(C(=O)NCCC[NH+]4CCCCC4)ccc3c2=O)cc1,0,0
160,COc1ccc(NC(=O)CSc2nnc(-c3ccccc3)n2N)cc1,0,0
161,C=CCn1cc(C(=O)NCCOC)c(=O)c2cc(S(=O)(=O)N(CC)CC)ccc21,0,1
162,CC[NH+]1CCN(c2cc3c(cc2F)c(=O)c(C(=O)[O-])cn3C2CC2)CC1,0,1
163,Cc1ccc([C@H](c2nnnn2CCC(C)C)[NH+]2CCN(C)CC2)cc1,0,1
164,CCOC(=O)c1c(C)n(CCO)c2ccc(O)cc12,0,1
165,Cc1nc(CC(=O)Nc2nc(-c3ccccc3)cs2)cs1,0,0
166,CCOC(=O)[C@H]1CCCN(S(=O)(=O)c2cccs2)C1,1,0
167,CCCS(=O)(=O)N1CCC(C(=O)NCCC[N@@H+](C)Cc2ccccc2)CC1,1,0
168,COC(=O)CCC(=O)Nc1ccc(C)cc1OC(=O)CCC(=O)OC,0,0
169,CCOC(=O)N1CC[NH+](Cc2ccccc2Cl)CC1,0,1
170,O=C(CCCCn1c(=O)c2ccccc2n(CC(=O)Nc2ccc(F)cc2)c1=O)NCc1ccco1,0,0
171,CCOC(=O)[C@@H]1C(=O)C[C@@](C)(O)[C@@H](C(=O)OCC)[C@@H]1c1cccc(OC)c1,0,0
172,Cc1ccc(S(=O)(=O)Nc2ccccc2F)cc1C(=O)NCCCN1CCCC1=O,1,0
173,CC[C@@H](C)NC(=O)Cn1c(=O)n(-c2ccccc2)c(=O)c2ccc(C(=O)NCc3ccco3)cc21,0,0
174,CCC1=C2CC[C@H]3C(=O)N(C)C(=O)[C@H]3[C@H]2[C@@]2(Cc3ccccc3)/C(=N/CC(=O)OC)OC(=O)N2C1=O,0,1
175,CC(C)(CSc1nncn1/N=C/c1ccco1)NS(=O)(=O)c1ccc(Cl)cc1,0,0
176,Fc1ccc(Nc2nc(Oc3ccc4c(c3)OCO4)nc(N3CCOCC3)n2)c(F)c1,0,0
177,COc1cccc(N2C(=O)[C@H]3[C@H](ON(c4ccccc4)[C@@H]3c3cccs3)C2=O)c1,0,0
178,O=C(Nc1cccc(Cl)c1N1CCCC1)c1cc2ccccc2o1,0,0
179,CCN(CC)c1nc(N)nc([N-]S(=O)(=O)c2ccc(Cl)cc2)n1,1,0
180,Cc1nnc2n(c1=O)[C@@H](CS(=O)(=O)c1ccccc1)CS2,0,1
181,Cc1ncsc1C(=O)Nc1nc2c(s1)C[C@H](C)CC2,0,0
182,COc1ccc(C(=O)NC(=O)CSc2nnc(-c3ccco3)n2-c2ccccc2)cc1,0,0
183,C[C@@H]1CCCCN1C(=O)Cn1cc(C(=O)c2ccco2)c2ccccc21,0,0
184,Cc1noc(C)c1COC(=O)CCc1nc2ccccc2s1,0,0
185,C=CCNC(=O)c1ccc(C(=O)c2ccccc2)cc1,0,0
186,COc1ccc(CCNC(=O)C[NH+]2CCN(c3cccc(Cl)c3)CC2)cc1OC,0,1
187,Cc1c(C(=O)N(Cc2cccs2)[C@@H]2CCS(=O)(=O)C2)oc2ccccc12,0,1
188,Cc1c(NS(=O)(=O)N2CCCC2)c(=O)n(-c2ccccc2)n1C,0,1
189,Cc1oc(-c2ccccc2)cc1C(=O)Nc1cccc(C(=O)[O-])c1,0,0
190,COc1ccc(-c2nc(NC(=O)CSc3nnc(C)s3)ns2)cc1,0,0
191,Cn1c(=O)c2c(nc(C[N@H+](C)Cc3ccccc3)n2Cc2ccccc2Cl)n(C)c1=O,0,0
192,CCOc1ccc2ncc(C(=O)N3CC[NH+](CC)CC3)c(O)c2c1,0,1
193,NC(=O)C1CCN(c2nc(-c3ccccc3)nc3ccccc23)CC1,0,0
194,Cc1nn(C)c(C)c1S(=O)(=O)N(CC(=O)Nc1ccc2c(c1)OCO2)c1ccc(C(C)C)cc1,0,0
195,COCCCNC(=O)COc1ccc(S(=O)(=O)Nc2ccccc2)cc1,1,0
196,N#C/C(=C\c1cccs1)Sc1nc2ccccc2s1,0,0
197,COc1ccc(-c2noc(CCC(=O)Nc3cccnc3)n2)cc1OC,0,0
198,Cn1c(SCc2ccc(Br)cc2)nnc1-c1cccs1,0,0
199,CCOC(=O)C1CCN(C(=O)c2ccc3snnc3c2)CC1,0,1
200,Cc1noc(C)c1CSc1nnc2cc(C)c3ccccc3n12,0,1
201,COc1ccc2c(c1)C(C)=CC(C)(C)N2C(=O)C[NH2+]Cc1ccc2c(c1)OCO2,0,0
202,CC(=O)N1CCN(C(=S)c2ccc(N(C)C)cc2)CC1,1,0
203,CN(C(=O)c1ccccc1Cl)C1CCCCC1,0,1
204,O=C(NCCc1nc2ccccc2[nH]1)Nc1ccccc1,0,0
205,Cn1c(=O)c(C#N)c(-c2ccccc2)n2cnnc12,0,1
206,CC(C)(C)NS(=O)(=O)c1ccc(CCC(=O)N2CCOCC2)cc1,1,0
207,O=C(c1ccc2c(c1)N(Cc1ccccc1)C(=O)CS2)N1CCOCC1,0,0
208,CCOC(=O)[C@@H](C)n1cnc2c(nnn2-c2ccc(OC)cc2)c1=O,0,1
209,CCCn1c(SCC(=O)c2ccc3c(c2)OCCO3)nnc1C(C)C,0,0
210,Cc1cc(NC(=O)CSc2nc3ccsc3c(=O)n2CCCCC(=O)[O-])no1,0,0
211,Cc1ccc2nc3ccc(N4CCCC4)nn3c(=O)c2c1,0,1
212,C[C@@H]1CC(=O)[C@@H](C)CN1C(=O)N1c2ccccc2Sc2ccccc21,0,0
213,COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@H]2c3cc(C(=O)N4CCCC4)n(CCO)c3C[C@H]2CN1C(=O)c1ccccc1,0,1
214,O=C1OCC[C@H]1NC1=[NH+]CCC1,0,1
215,C[C@@H]1CCc2c(sc3ncnc(N4CCOCC4)c23)C1,0,1
216,CC(=O)c1ccc(NC(=O)c2ccn[nH]2)cc1,0,0
217,CC1CC[NH+](CCC(=O)N2CCCc3c2c(=O)oc2ccc(O)cc32)CC1,0,1
218,CC(=O)c1cccc(NC(=O)[C@H]2CCCN(S(=O)(=O)c3ccc(F)cc3)C2)c1,0,0
219,C[NH+](C)CCNc1oc(COc2ccc(Cl)cc2)nc1C#N,0,1
220,CCOCCCn1c(=[NH2+])c(C(=O)NCc2ccc3c(c2)OCO3)cc2c(=O)n3cccc(C)c3nc21,0,1
221,Cc1nnc(NC(=O)[C@@H](C)Oc2ccc3c(C)cc(=O)oc3c2)s1,0,0
222,COc1ccccc1-c1ccc(=O)n(CC(=O)Nc2ccc(C(=O)N3CCCC3)cc2)n1,0,0
223,COc1cccc([C@H](O)Cn2cc(-c3ccc(CON=C(C)C)cc3)nn2)c1,0,0
224,Cc1ccc(-n2c3c(cc(C(=O)NCc4ccco4)c2=O)C(=O)CC(C)(C)C3)cc1,0,0
225,Cc1cc(N(C)C)c(C#N)c(NCc2ccccc2)[nH+]1,0,0
226,O=C(NCCO)c1ccc(-c2nnc(N3CCOCC3)c3ccccc23)cc1,0,0
227,CCOc1ccccc1-n1c(SCC(N)=O)nnc1-c1ccco1,0,0
228,CCCOc1ccc(C2C(C(=O)OC)=CN(CCOC)C=C2C(=O)OC)cc1,0,1
229,Clc1cccc(Cl)c1Cn1cnc2c(N3CCCCCC3)ncnc21,0,0
230,CC(C)C[C@@H](NC(=O)c1ccco1)C(=O)Nc1ccc2c(c1)OCCO2,0,0
231,C[C@H](c1ccccc1F)n1cc(C(=O)NCc2ccncc2)nn1,0,0
232,Nc1nnc(SCc2ccc3c(c2)OCO3)s1,0,0
233,CCCN1C(=O)c2cc(C(=O)NC3CCCCCC3)ccc2[C@H]1O,0,0
234,CCOc1cccc(C(=O)N2CCCC[C@@H]2c2cccnc2)c1,0,0
235,O=C(CN1C(=O)c2ccccc2C1=O)N1CCN(c2ccccc2)CC1,0,0
236,N#Cc1ccccc1Sc1ccccc1C(=O)OCc1nnc(-c2ccccc2)o1,0,0
237,Cn1cnnc1SCC(=O)Nc1ccccc1Sc1ccccc1,0,0
238,O=C(NC1CCCCCC1)[C@H]1CCCN(S(=O)(=O)c2cnc[nH]2)C1,0,1
239,O=C(c1cccnc1)N1[C@H]2C=C[C@H](C2)C1(C(F)(F)F)C(F)(F)F,1,1
240,N#CCCN1CC[NH+](Cc2cc(-c3ccccc3)ccc2O)CC1,0,0
241,Cc1cccc(CS(=O)(=O)Cc2ccc(C(=O)NC[C@H]3CCCO3)o2)c1,0,0
242,COc1ccc(OC)c(C2=NO[C@@H](C(=O)N3CCC4(CC3)OCCO4)C2)c1,0,0
243,NC(=O)C1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,1,1
244,C[C@@H](Sc1sc(=S)sc1S[C@H](C)C(=O)[O-])C(=O)[O-],0,0
245,COC(=O)c1[nH]c2ccccc2c1NC(=O)C[N@@H+]1CCN(c2cccc(OC)c2)[C@H](C)C1,0,1
246,O=C(C1CCN(S(=O)(=O)N2CCOCC2)CC1)N1CCC2(CC1)OCCO2,0,1
247,COc1ccc(C(=O)NCc2nnc(SCC(=O)N3CCc4ccccc43)o2)cc1OC,0,0
248,Cc1cccc(OCC(=O)Nc2cccc(-c3nnc(-c4ccccc4)o3)c2)c1C,0,0
249,CN1CC(=O)N(CC(=O)Nc2ccc(F)cc2)c2ccccc2C1=O,0,0
250,Cn1c(C(=O)NCCCn2ccnc2)cc2c(=O)n3ccccc3nc21,0,1
251,CCC(=O)N[C@]1(C(F)(F)F)C(=O)Nc2c1c(=O)n(C)c(=O)n2C,0,0
252,Cc1ccc(-n2c([O-])c(/C=N/c3ccccc3N)c(=O)[nH]c2=O)cc1C,0,0
253,COc1ccc([C@H]2N(c3cc(Cl)ccc3OC)C(=O)[C@H]3CCC[N@H+]32)cc1,0,1
254,Cc1cccc(Nc2ncc3c(n2)C[C@H](C)CC3=O)c1,0,1
255,COCCN1Cc2cccc(C(=O)Nc3c(C)cccc3C)c2C1=O,0,1
256,CCn1c(SCC(=O)c2ccc(OC)cc2)nnc1[C@@H](C)NC(=O)c1ccc(OC)cc1,0,0
257,O=C(CSc1oc(-c2ccco2)nc1S(=O)(=O)c1ccc(Cl)cc1)NC[C@H]1CCCO1,0,0
258,COc1ccc(NC(=O)C2CC2)cc1-n1cnnn1,0,1
